,,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins,Grouped by statins
"copd, n (%)",0,,649319 (99.9),159737 (99.9),482714 (99.9),3592 (99.8),3165 (99.8),111 (99.1),0.015,0.009,0.014,0.106,0.024,0.029,0.116,0.005,0.100,0.096,<0.001
"copd, n (%)",1,,630 (0.1),213 (0.1),404 (0.1),6 (0.2),6 (0.2),1 (0.9),,,,,,,,,,,
"atrial_fibrillation, n (%)",0,,649947 (100.0),159949 (100.0),483117 (100.0),3598 (100.0),3171 (100.0),112 (100.0),0.002,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.951
"atrial_fibrillation, n (%)",1,,2 (0.0),1 (0.0),1 (0.0),,,,,,,,,,,,,,
"atherosclerotic, n (%)",0,,649457 (99.9),159776 (99.9),482811 (99.9),3590 (99.8),3168 (99.9),112 (100.0),0.015,0.028,0.004,nan,0.042,0.011,nan,0.032,nan,nan,<0.001
"atherosclerotic, n (%)",1,,492 (0.1),174 (0.1),307 (0.1),8 (0.2),3 (0.1),,,,,,,,,,,,
"smoke, n (%)",0,,644285 (99.1),158531 (99.1),478913 (99.1),3579 (99.5),3151 (99.4),111 (99.1),0.002,0.043,0.030,0.001,0.041,0.028,0.002,0.014,0.043,0.030,0.112
"smoke, n (%)",1,,5664 (0.9),1419 (0.9),4205 (0.9),19 (0.5),20 (0.6),1 (0.9),,,,,,,,,,,
"alcohol, n (%)",0,,647802 (99.7),159344 (99.6),481591 (99.7),3590 (99.8),3166 (99.8),111 (99.1),0.011,0.029,0.043,0.065,0.018,0.033,0.074,0.015,0.090,0.102,0.001
"alcohol, n (%)",1,,2147 (0.3),606 (0.4),1527 (0.3),8 (0.2),5 (0.2),1 (0.9),,,,,,,,,,,
"Ethnic, n (%)",1,,46540 (7.2),9633 (6.0),36467 (7.5),154 (4.3),276 (8.7),10 (8.9),0.109,0.107,0.133,nan,0.147,0.116,nan,0.213,nan,nan,<0.001
"Ethnic, n (%)",2,,18912 (2.9),3765 (2.4),14974 (3.1),92 (2.6),73 (2.3),8 (7.1),,,,,,,,,,,
"Ethnic, n (%)",3,,4530 (0.7),964 (0.6),3512 (0.7),19 (0.5),35 (1.1),,,,,,,,,,,,
"Ethnic, n (%)",4,,563223 (86.7),140081 (87.6),417135 (86.3),3246 (90.2),2668 (84.1),93 (83.0),,,,,,,,,,,
"Ethnic, n (%)",5,,1212 (0.2),207 (0.1),984 (0.2),7 (0.2),14 (0.4),,,,,,,,,,,,
"Ethnic, n (%)",6,,15532 (2.4),5300 (3.3),10046 (2.1),80 (2.2),105 (3.3),1 (0.9),,,,,,,,,,,
